id,name,Gender
0,A-Bomb,Male
1,Abe Sapien,Male
2,Abin Sur,Male
3,Abomination,Male
4,Abraxas,Male
5,Absorbing Man,Male
6,Adam Monroe,Male
7,Adam Strange,Male
8,Agent 13,Female
9,Agent Bob,Male
10,Agent Zero,Male
11,Air-Walker,Male
12,Ajax,Male
13,Alan Scott,Male
14,Alex Mercer,Male
15,Alex Woolsly,Male
16,Alfred Pennyworth,Male
17,Alien,Male
18,Allan Quatermain,Male
19,Amazo,Male
20,Ammo,Male
21,Ando Masahashi,Male
22,Angel,Male
23,Angel,Male
24,Angel Dust,Female
25,Angel Salvadore,Female
26,Angela,Female
27,Animal Man,Male
28,Annihilus,Male
29,Ant-Man,Male
30,Ant-Man II,Male
31,Anti-Monitor,Male
32,Anti-Spawn,Male
33,Anti-Venom,Male
34,Apocalypse,Male
35,Aquababy,Male
36,Aqualad,Male
37,Aquaman,Male
38,Arachne,Female
39,Archangel,Male
40,Arclight,Female
41,Ardina,Female
42,Ares,Male
43,Ariel,Female
44,Armor,Female
45,Arsenal,Male
46,Astro Boy,Male
47,Atlas,Male
48,Atlas,Male
49,Atom,Male
50,Atom,Male
51,Atom Girl,Female
52,Atom II,Male
53,Atom III,Male
54,Atom IV,Male
55,Aurora,Female
56,Azazel,Male
57,Azrael,Male
58,Aztar,Male
59,Bane,Male
60,Banshee,Male
61,Bantam,Male
62,Batgirl,Female
63,Batgirl,Female
64,Batgirl III,Female
65,Batgirl IV,Female
66,Batgirl V,Female
67,Batgirl VI,Female
68,Batman,Male
69,Batman,Male
70,Batman II,Male
71,Battlestar,Male
72,Batwoman V,Female
73,Beak,Male
74,Beast,Male
75,Beast Boy,Male
76,Beetle,Male
77,Ben 10,Male
78,Beta Ray Bill,Male
79,Beyonder,Male
80,Big Barda,Female
81,Big Daddy,Male
82,Big Man,Male
83,Bill Harken,Male
84,Billy Kincaid,Male
85,Binary,Female
86,Bionic Woman,Female
87,Bird-Brain,-
88,Bird-Man,Male
89,Bird-Man II,Male
90,Birdman,Male
91,Bishop,Male
92,Bizarro,Male
93,Black Abbott,Male
94,Black Adam,Male
95,Black Bolt,Male
96,Black Canary,Female
97,Black Canary,Female
98,Black Cat,Female
99,Black Flash,Male
100,Black Goliath,Male
101,Black Knight III,Male
102,Black Lightning,Male
103,Black Mamba,Female
104,Black Manta,Male
105,Black Panther,Male
106,Black Widow,Female
107,Black Widow II,Female
108,Blackout,Male
