Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),765
San Antonio Shopping Center,Mountain View City Hall,1036
Post at Kearny,2nd at South Park,307
San Jose City Hall,San Salvador at 1st,409
Embarcadero at Folsom,Embarcadero at Sansome,789
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),293
Embarcadero at Folsom,Embarcadero at Sansome,896
Embarcadero at Sansome,Steuart at Market,255
Beale at Market,Temporary Transbay Terminal (Howard at Beale),126
Post at Kearny,South Van Ness at Market,932
Embarcadero at Sansome,Market at Sansome,691
Market at 10th,San Francisco Caltrain (Townsend at 4th),633
Market at 4th,Grant Avenue at Columbus Avenue,387
Market at Sansome,Broadway St at Battery St,281
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),424
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,283
University and Emerson,Cowper at University,145
Spear at Folsom,San Francisco Caltrain 2 (330 Townsend),703
Temporary Transbay Terminal (Howard at Beale),Grant Avenue at Columbus Avenue,605
San Francisco Caltrain (Townsend at 4th),Broadway St at Battery St,902
San Francisco Caltrain (Townsend at 4th),Market at 4th,481
Mountain View Caltrain Station,Castro Street and El Camino Real,335
Steuart at Market,San Francisco Caltrain (Townsend at 4th),704
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),326
Harry Bridges Plaza (Ferry Building),Embarcadero at Bryant,274
Embarcadero at Sansome,Embarcadero at Bryant,709
Spear at Folsom,2nd at Townsend,486
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,273
Market at Sansome,2nd at Townsend,497
Market at 10th,5th at Howard,395
Civic Center BART (7th at Market),Beale at Market,509
2nd at Townsend,Powell at Post (Union Square),671
Castro Street and El Camino Real,Mountain View Caltrain Station,307
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),359
5th at Howard,San Francisco Caltrain 2 (330 Townsend),310
2nd at South Park,Market at Sansome,329
5th at Howard,San Francisco Caltrain 2 (330 Townsend),382
Embarcadero at Bryant,Harry Bridges Plaza (Ferry Building),1808
Howard at 2nd,2nd at South Park,215
5th at Howard,San Francisco Caltrain 2 (330 Townsend),393
2nd at Townsend,Embarcadero at Sansome,1435
Townsend at 7th,Harry Bridges Plaza (Ferry Building),645
Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,346
Market at Sansome,San Francisco Caltrain (Townsend at 4th),776
Spear at Folsom,Townsend at 7th,803
Market at Sansome,Broadway St at Battery St,378
San Francisco Caltrain 2 (330 Townsend),Harry Bridges Plaza (Ferry Building),523
Townsend at 7th,Spear at Folsom,663
Commercial at Montgomery,San Francisco City Hall,888
San Francisco Caltrain (Townsend at 4th),Spear at Folsom,842
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,444
Howard at 2nd,San Francisco Caltrain 2 (330 Townsend),489
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,236
Market at Sansome,Clay at Battery,217
Yerba Buena Center of the Arts (3rd @ Howard),2nd at Townsend,577
Howard at 2nd,Market at 4th,290
Harry Bridges Plaza (Ferry Building),2nd at Townsend,559
Yerba Buena Center of the Arts (3rd @ Howard),Market at 10th,609
Market at 4th,San Francisco Caltrain 2 (330 Townsend),466
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,482
Spear at Folsom,Davis at Jackson,326
5th at Howard,Townsend at 7th,426
South Van Ness at Market,Market at 4th,471
Post at Kearny,5th at Howard,368
2nd at Townsend,Steuart at Market,616
2nd at Townsend,Market at Sansome,403
San Francisco Caltrain 2 (330 Townsend),2nd at South Park,384
Market at 4th,San Francisco Caltrain 2 (330 Townsend),472
Mechanics Plaza (Market at Battery),Civic Center BART (7th at Market),509
