San Jose Diridon Caltrain Station,San Jose
San Jose Civic Center,San Jose
Santa Clara at Almaden,San Jose
Adobe on Almaden,San Jose
San Pedro Square,San Jose
Paseo de San Antonio,San Jose
San Salvador at 1st,San Jose
Japantown,San Jose
San Jose City Hall,San Jose
MLK Library,San Jose
SJSU 4th at San Carlos,San Jose
St James Park,San Jose
Arena Green / SAP Center,San Jose
SJSU - San Salvador at 9th,San Jose
Franklin at Maple,Redwood City
Redwood City Caltrain Station,Redwood City
San Mateo County Center,Redwood City
Redwood City Public Library,Redwood City
Stanford in Redwood City,Redwood City
Redwood City Medical Center,Redwood City
Mountain View City Hall,Mountain View
Mountain View Caltrain Station,Mountain View
San Antonio Caltrain Station,Mountain View
Evelyn Park and Ride,Mountain View
San Antonio Shopping Center,Mountain View
Castro Street and El Camino Real,Mountain View
Rengstorff Avenue / California Street,Mountain View
Palo Alto Caltrain Station,Palo Alto
University and Emerson,Palo Alto
California Ave Caltrain Station,Palo Alto
Cowper at University,Palo Alto
Park at Olive,Palo Alto
Clay at Battery,San Francisco
Davis at Jackson,San Francisco
Commercial at Montgomery,San Francisco
Washington at Kearney,San Francisco
Post at Kearney,San Francisco
Embarcadero at Vallejo,San Francisco
Spear at Folsom,San Francisco
Harry Bridges Plaza (Ferry Building),San Francisco
Embarcadero at Folsom,San Francisco
Powell Street BART,San Francisco
Embarcadero at Bryant,San Francisco
Temporary Transbay Terminal (Howard at Beale),San Francisco
Beale at Market,San Francisco
5th at Howard,San Francisco
San Francisco City Hall,San Francisco
Golden Gate at Polk,San Francisco
Embarcadero at Sansome,San Francisco
2nd at Townsend,San Francisco
2nd at Folsom,San Francisco
Howard at 2nd,San Francisco
2nd at South Park,San Francisco
Townsend at 7th,San Francisco
South Van Ness at Market,San Francisco
Market at 10th,San Francisco
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco
San Francisco Caltrain 2 (330 Townsend),San Francisco
San Francisco Caltrain (Townsend at 4th),San Francisco
Powell at Post (Union Square),San Francisco
Civic Center BART (7th at Market),San Francisco
Grant Avenue at Columbus Avenue,San Francisco
Steuart at Market,San Francisco
Mechanics Plaza (Market at Battery),San Francisco
Market at 4th,San Francisco
Market at Sansome,San Francisco
Santa Clara County Civic Center,San Jose
Broadway St at Battery St,San Francisco
Mezes Park,Redwood City
Ryland Park,San Jose
